2019,12,20,9,51,22,4.10172,4.11149,3.875,0.06875,2.82125,0.001332,0.268768,0.010212,0,0.173012,0.00754801,4.30408,1.23311,3.69696,1,,,,,,,,,,,,,,,,13.6149,,DK3WN,JN49LR
2019,12,20,9,51,32,4.11149,4.11149,3.875,0.159531,2.82125,0.000592001,0.002072,0.151996,0.00606801,0.473452,0.018204,0.384314,2.83638,4.56815,1,,,,,,,,,,,,,,,,13.3635,,DK3WN,JN49LR
2019,12,20,9,51,42,4.11149,4.11637,3.625,0.224844,2.82187,0,0.00740001,0.42994,0.021164,0.0960521,0.297776,0.972573,2.67369,4.25339,1,,,,,,,,,,,,,,,,13.1121,,DK3WN,JN49LR
2019,12,20,9,51,52,4.12125,4.12125,3.875,0.255156,2.82375,0,0.452436,0.010064,0.225108,0,0.021312,4.40546,4.34534,1.57616,1,,,,,,,,,,,,,,,,12.6094,,DK3WN,JN49LR
2019,12,20,9,52,2,4.10172,4.1066,4.25,0.0614063,2.825,0,0.000592001,0.046176,0.00976801,0.248788,0.01036,0.352484,4.05887,4.19091,1,,,,,,,,,,,,,,,,15.6259,,DK3WN,JN49LR
2019,12,20,9,52,42,4.1066,4.11149,4.125,0.0679688,2.825,0,0.00592001,0.439264,0.01036,0.003552,0.031376,0.484518,4.66717,2.04064,1,,,,,,,,,,,,,,,,12.6094,,DK3WN,JN49LR
2019,12,20,9,52,52,4.11637,4.12125,4.375,0.251094,2.82625,0.000444,0.515041,0.01036,0.108632,0.013764,0.0507641,3.94216,4.04473,3.24073,1,,,,,,,,,,,,,,,,14.369,,DK3WN,JN49LR
2019,12,20,9,53,2,4.11637,4.12125,4.875,0.194062,2.8275,0.000888001,0.037444,0.17612,0.00606801,0.464128,0.018204,2.19507,3.60383,4.50685,1,,,,,,,,,,,,,,,,13.1121,,DK3WN,JN49LR
2019,12,20,16,20,36,4.17985,4.18473,7.875,-0.00671875,20.4462,0.000148,0.032708,0.015836,0.0566841,0.001332,0.036112,1.96047,3.96456,2.12905,1,,,,,,,,,,,,,,,,18.3912,1405884,KB9JHU,EM69UF
2019,12,20,16,21,13,4.19938,4.19938,8.375,0.12,20.4469,0.000740001,0.018056,0.232952,0.03256,0.468272,0.0639361,1.62331,3.89383,3.73822,1,,,,,,,,,,,,,,,,17.1342,1405884,KB9JHU,EM69UF
2019,12,20,16,21,24,4.19938,4.19938,8.25,0.237031,20.4475,0.000888001,0.03922,0.521553,0.02664,0.041588,0.0779961,2.16442,3.95749,3.51187,1,,,,,,,,,,,,,,,,17.1342,1405884,KB9JHU,EM69UF
2019,12,20,19,3,54,4.17985,4.18961,18.875,-0.1,20.4719,0.000148,0,0,0,0.000592001,0.000296,0,0,0.00471551,1,,,,,,,,,,,,,,,,30.4575,1405901,ZR1ADC,LL34JS
2019,12,20,19,4,14,4.17985,4.18961,18.5,-0.1,20.4713,0,0,0,0,0.000592001,0,0,0.00235775,0.00471551,1,,,,,,,,,,,,,,,,30.4575,1405901,ZR1ADC,LL34JS
2019,12,20,19,4,55,4.17985,4.18961,18,-0.100469,20.47,0,0.001184,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,30.4575,1405901,ZR1ADC,LL34JS
2019,12,20,19,5,12,4.17985,4.18961,17.75,-0.100625,20.4694,0,0,0,0,0.000592001,0,0,0,0.00707326,1,,,,,,,,,,,,,,,,30.4575,1405901,ZR1ADC,LL34JS
2019,12,20,19,5,33,4.17985,4.18473,17.5,-0.100625,20.4688,0,0,0,0,0,0.000148,0,0.00235775,0.00471551,1,,,,,,,,,,,,,,,,29.7034,1405901,ZR1ADC,LL34JS
2019,12,20,20,47,29,4.17985,4.18961,11.625,-0.105469,20.4737,0,0,0,0,0,0,0,0.00235775,0.47273,1,,,,,,,,,,,,,,,,23.9216,1405894,DL4PD,JO30CR
